ID,Программа,Часов,Стоимость (RUB),ДатаНачала,ДатаКонца,Описание,Тип
1,2022 Основы машинного и глубокого обучения,304,0,"2022-10-1, 00:00","2023-12-31, 00:00","<h2>Общая характеристика программы</h2><p><i><strong>&nbsp;</strong></i></p><p><i><strong>1&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Описание</strong></i></p><p>Программа направлена на получение цифровых компетенций в области создания алгоритмов и компьютерных программ, пригодных для практического применения в сфере машинного и глубокого обучения. Программа формирует знания, умения, навыки в области:</p><p>1. синтаксиса, базовых понятий и элементов языка программирования Python (операторы, числовые и строковые переменные, условия и циклы и т.д.);</p><p>2. основополагающих алгоритмов и структур данных (линейные и нелинейные динамические структуры данных, связные списки, бинарные деревья, алгоритмы сортировки и поиска данных и другие алгоритмы прикладного программирования), основных стратегий разработки и анализа сложности алгоритмов;</p><p>3. основ проектирования баз данных, включая анализ предметной области, моделирование данных и реализацию их физической модели, основных функций управления данными, таких как определение, манипулирование, поиск, защита данных;</p><p>4. основ машинного обучения, включая контролируемое обучение, обучение без учителя, теорию обучения, усиление обучения и адаптивное управление;</p><p>5. основных базовых архитектур сетей глубокого обучения, теоретических и практических аспектов их обучения, оптимизации модели, интерпретации и анализа результатов и процесса их обучения, современных задач и алгоритмов глубокого обучения.</p><p>&nbsp;</p><p>В результате освоения данной образовательной программы выпускник программы «Основы машинного и глубокого обучения» должен:</p><p>Знать:</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; базовые понятия и принципы программирования;</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; базовый синтаксис языка Python;</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; базовые структуры данных;</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; существующие алгоритмы обработки данных;</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; технологии проектирования баз данных, функции управления данными, языки баз данных;</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; существующие методы машинного обучения;</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; основные методы глубокого обучения в современных задачах математического моделирования и обработки данных;</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; основные архитектуры искусственных нейронных сетей, теоретические и практические аспекты их обучения.</p><p>Уметь:</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; оперировать базовыми типами и конструкциями языка Python;</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; анализировать сложность алгоритмов;</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; выбирать оптимальные структуры данных для разработки компьютерных программ;</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; выбирать систему управления базами данных;</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; писать запросы и выражения на языке баз данных;</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; решать задачи машинного обучения и искусственного интеллекта;</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; анализировать результаты обучения глубокой архитектуры, выявлять и устранять основные проблемы, мешающие их правильной работе и обучению.</p><p>Владеть:</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; навыками разработки алгоритмов обработки данных;</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; навыками создания компьютерных программ на языке Python;</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; навыками проектирования, управления и эксплуатации баз данных;</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; навыками применения методов машинного обучения для решения практических задач в разных областях человеческой деятельности;</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; навыками разработки архитектуры нейронных сетей, их применения к практическим задачам, и программной реализации;</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; навыками работы с платформами для программной реализации и обучения искусственных нейронных сетей.</p><p style=""text-align:justify;"">К освоению программы допускаются лица, получающие высшее образование по очной (очно-заочной) форме, лица, освоившие основную профессиональную образовательную программу не отнесенную к ИТ-профилям, (далее – ОПОП ВО) бакалавриата – в объеме не менее первого курса (бакалавры 2-го курса), ОПОП ВО специалитета – не менее первого и второго курсов (специалисты 3-го курса), а также магистратуры, обучающиеся по ОПОП ВО, не отнесенным к ИТ-сфере.</p><p>&nbsp;</p><p>Лицам, успешно освоившим данную программу&nbsp; и прошедшим итоговую аттестацию, выдается документ о квалификации: диплом о профессиональной переподготовке.</p>",Цифровая кафедра
2,2022 Интеллектуальный анализ Больших данных,304,0,"2022-10-1, 00:00","2023-12-31, 00:00","<p><i><strong>Аннотация программы</strong></i></p><p><i><strong>&nbsp;</strong></i></p><p style=""text-align:justify;"">Курс нацелен на получения навыков применения методов искусственного интеллекта (машинного и глубокого обучения) к Большим данным в области принятия управленческих решений в современных компаниях в условиях цифровой трансформации.</p><p style=""text-align:justify;"">В результате освоения данной программы выпускник программы «Интеллектуальный анализ Больших данных» должен:</p><p>&nbsp;</p><p>Знать: Методы машинного и глубокого обучения. Технологии анализа Больших данных.</p><p>&nbsp;</p><p>Уметь: Применять методы машинного и глубокого обучения для Больших данных</p><p>&nbsp;</p><p>Владеть навыками: обучения моделей машинного и глубокого обучения на больших данных c использование таких инструментов как scikit-learn, TensorFlow, PyTorch, Apach Spark и федеративное обучение.</p><p>&nbsp;</p><h2>Общая характеристика программы</h2><p><i><strong>&nbsp;</strong></i></p><p><i><strong>1&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Описание</strong></i></p><p><i><strong>&nbsp;</strong></i></p><p>В рамках данной программы подразумевается изучение принципов интеллектуального анализа Больших данных для осуществления поддержки принятия управленческих решений в компаниях. Курс включает в себя изучение методов машинного и глубокого обучения, технологий анализа больших данных, а также получения практических навыков работы с инструментами scikit-learn, TensorFlow, PyTorch и Apach Spark. Кроме того, в курсе рассматриваются технология и инструменты федеративного обучения и визуализации данных.</p><p style=""text-align:justify;"">Для оценки уровня освоения полученных в процессе обучения компетенций слушатели будут выполнять проекты по интеллектуальному анализу данных больших объемов.</p><p>&nbsp;</p><p>В результате освоения данной программы выпускник программы «Интеллектуальный анализ Больших данных» должен:</p><p>&nbsp;</p><p>Знать: Методы машинного и глубокого обучения. Технологии анализа Больших данных.</p><p>&nbsp;</p><p>Уметь: Применять методы машинного и глубокого обучения для Больших данных</p><p>&nbsp;Владеть навыками: обучения моделей машинного и глубокого обучения на больших данных c использование таких инструментов как scikit-learn, TensorFlow, PyTorch, Apach Spark и федеративное обучение.</p><p>&nbsp;В настоящее время возрастает спрос на грамотных специалистов в области анализа данных (Data Scientists).</p><p style=""text-align:justify;"">В условиях цифровой трансформации бизнеса и переходу стратегий, основанных на данных, необходимо повышать грамотность в области эффективного использования накопленной информации с применением искусственного интеллекта.</p>",Цифровая кафедра
3,Информационная безопасность,250,0,"2022-7-15, 00:00","2023-12-31, 00:00","<p><i><strong>Аннотация программы</strong></i></p><p style=""text-align:justify;"">В результате освоения дисциплины должны быть сформированы основные представления, которые необходимы для подготовки современного специалиста по компьютерной безопасности, независимо от предметной области применения его профессиональных знаний. Содержание учебного материала отражает различные аспекты и уровни общности проблем информационной безопасности. В изложении используются математические модели, даётся обзор средств нарушения компьютерной безопасности и противодействия угрозам, а также нормативной базы, рассматриваются физические среды и каналы утечки информации, акцентируется необходимость при анализе ситуаций следования принципу целенаправленности и целесообразности.</p><p><i><strong>&nbsp;</strong></i>Курс нацелен на получения навыков комплексной защиты объектов информатизации для применения в области принятия управленческих решений в современных компаниях в условиях цифровой трансформации.</p><p style=""text-align:justify;"">В результате освоения данной программы выпускник программы «Информационная безопасность» должен:</p><p>Знать:</p><p style=""text-align:justify;"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; основные требования нормативных документов в области информационной безопасности (ИБ);</p><p style=""text-align:justify;"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; основы информационной безопасности, методологию защиты информации;</p><p style=""text-align:justify;"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; виды угроз и методы борьбы с ними;</p><p style=""text-align:justify;"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; принципы построения системы защиты предприятия.</p><p>Уметь:</p><p style=""text-align:justify;"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; грамотно использовать нормативные документы в области информационной безопасности;</p><p style=""text-align:justify;"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; осуществлять защиту объектов информатизации уровня предприятия;</p><p style=""text-align:justify;"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; разрабатывать соответствующую документацию (регламенты и требования), для обеспечения организации конфиденциального делопроизводства, проведения аудитов информационной безопасности, расследования компьютерных преступлений, обеспечения экономической безопасности предприятия.</p><p>Владеть:</p><p>навыками самостоятельной деятельности при выполнении назначенной роли информационной безопасности в трудовом коллективе штатных подразделений организации.</p><p>&nbsp;</p><h2>Общая характеристика программы</h2><p><i><strong>&nbsp;</strong></i></p><p><i><strong>1&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Описание</strong></i></p><p><i><strong>&nbsp;</strong></i></p><p style=""text-align:justify;"">В рамках данной программы подразумевается изучение принципов комплексной защиты объектов информатизации для осуществления поддержки принятия управленческих решений в компаниях. Курс включает в себя изучение нормативных документов в области ИБ, теории, моделей и методов обеспечения защищенности объектов информатизации на базе компьютерных систем, а также получения практических навыков работы в области ИБ. Кроме того, в курсе рассматриваются дополнительные компьютерные технологии. Слушатели получат навыки работы с программными средствами защиты и в области разработки документов организации по ИБ. Слушатели будут &nbsp;ознакомлены с западными разработками и опытом работы в области ИБ.</p><p style=""text-align:justify;"">Для оценки уровня освоения полученных в процессе обучения компетенций слушатели будут выполнять проектирование системы защиты объекта информатизации.</p><p>&nbsp;</p><p>В результате освоения данной программы выпускник программы «Информационная безопасность» должен:</p><p>&nbsp;</p><p>Знать:</p><p style=""text-align:justify;"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; основные требования нормативных документов в области информационной безопасности (ИБ);</p><p style=""text-align:justify;"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; основы информационной безопасности, методологию защиты информации;</p><p style=""text-align:justify;"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; виды угроз и методы борьбы с ними;</p><p style=""text-align:justify;"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; принципы построения системы защиты предприятия.</p><p>&nbsp;</p><p>Уметь:</p><p style=""text-align:justify;"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; грамотно использовать нормативные документы в области информационной безопасности;</p><p style=""text-align:justify;"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; осуществлять защиту объектов информатизации уровня предприятия;</p><p style=""text-align:justify;"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; разрабатывать соответствующую документацию (регламенты и требования), для обеспечения организации конфиденциального делопроизводства, проведения аудитов информационной безопасности, расследования компьютерных преступлений, обеспечения экономической безопасности предприятия.</p><p>Владеть:</p><p>навыками самостоятельной деятельности при выполнении назначенной роли информационной безопасности в трудовом коллективе штатных подразделений организации.</p><p style=""text-align:justify;"">&nbsp;</p><p style=""text-align:justify;"">К освоению программы допускаются лица, имеющие высшее образование, владеющие основами информатики, а также&nbsp; дисциплин в объёме базовой части, читаемой всем специальностям в вузах) и являющиеся уверенными пользователями персонального компьютера.</p><p style=""text-align:justify;"">В настоящее время возрастает спрос на грамотных специалистов в области информационной безопасности.</p><p style=""text-align:justify;"">В условиях цифровой трансформации бизнеса и переходу стратегий, основанных на данных, необходимо повышать грамотность в данной области.</p>",
4,2022 Современные средства САУ,250,0,"2022-10-1, 00:00","2023-12-31, 00:00","<p>Курс посвящен различным аспектам разработки систем управления на базе ПЛК – программируемых логических контроллеров. Как правило, областью применения таких систем являются промышленные объекты, однако они используются и в других областях – транспорт и его инфраструктура, объекты энергетического сектора, сервисное и научное оборудование.</p><p>Курс состоит из трёх модулей, в которых слушатели изучат все этапы проектирования промышленных систем управления и ознакомятся с многообразием аппаратных и программных средств, используемых для решения задач промышленной автоматизации.</p><p>Во введении даются общие понятия, определяются уровни в рамках глобальной автоматизации, к которым применимы изучаемые подходы и средства. Рассматривается классификация объектов автоматизации и структура информационного обмена.</p><p>В первом модуле рассматриваются базовые аппаратные компоненты, лежащие в основе любых промышленных систем – датчики, исполнительные устройства, различное вспомогательное оборудование. Даются основные принципы выбора и поиска компонентов, работы с документацией, построения электрических схем.</p><p>Второй модуль посвящён рассмотрению компонентов ПЛК, их возможностям и применимости для решения различных задач. Рассматриваются вопросы конфигурирования и программирования систем ПЛК, структура памяти, данных и программ, возможности сетевых коммуникаций. В рамках данного модуля выполняются практические задания на ПЛК.</p><p>В рамках третьего модуля осуществляется выполнение итогового проекта, для реализации чего потребуются знания, полученные в первых двух модулях. Проект представляет собой решение поставленной задачи автоматизации процесса или объекта и содержит этапы проектирования аппаратной и программной части, а также документирование полученного результата.</p><p>В результате прохождения курса вы будете иметь набор знаний и умений, необходимый и достаточный для проектирования, обслуживания или модификации систем промышленной автоматизации.</p>",Цифровая кафедра
5,"2022 Модуль 2 ""Автономные интеллектуальные системы"" программы профессиональной переподготовки ""Системы искусственного интеллекта""",50,1,"2022-10-3, 00:00","2022-10-21, 00:00","<p style=""text-align:justify;""><strong>Модуль 2. Автономные интеллектуальные системы</strong></p><p style=""text-align:justify;""><strong>Модуль 2.1. Введение (1 час)</strong></p><p style=""text-align:justify;"">Знакомство со структурой и целями курса, анонсирование предполагаемых компетенций на выходе.</p><p style=""text-align:justify;"">Особенности подготовки студентов по направлению «Автономные интеллектуальные системы». Список дисциплин. Организация лекционных и практических занятий. Системы автопроверки решений.</p><p style=""text-align:justify;""><strong>Модуль 2.2.Нейронные сети (10 часов)</strong></p><p style=""text-align:justify;""><i>2.2.1 Архитектура сети и работа с Google Collab (6 часов)</i></p><p style=""text-align:justify;"">Понятие архитектуры сети. Описание существующих распространённых архитектур сетей. Применение нейронных сетей в задачах автономных систем. Обработка изображений - свёрточные нейронные сети YOLO, HardNet, DDR-Net. Работа с GoogleCollab. Основные методы работы с GoogleCollab. Обучение нейронных сетей в GoogleCollab для обработки изображений.</p><p style=""text-align:justify;""><i>2.2.2 Постановка задач и их решение в рамках курса по нейронным сетям (4 часа)</i></p><p style=""text-align:justify;"">Использование существующих сетей в GoogleCollab.</p><p style=""text-align:justify;""><strong>Модуль 2.3. Параллельное программирование (10 часов)</strong></p><p style=""text-align:justify;""><i>2.3.1 Основные концепции. Многопоточное программирование (5 часов)</i></p><p style=""text-align:justify;"">Основные концепции параллельного программирования. Понятие Robot Operating System (ROS). Установка. Работа с ROS из командной строки.</p><p style=""text-align:justify;""><i>2.3.2 Обзор фреймворков и библиотек (5 часов)</i></p><p style=""text-align:justify;"">Понятие фреймворка и библиотек в программировании. Шаблон«писатель-читатель». Обмен сообщениями. Ноды. Топики. Launchфайлы.</p><p style=""text-align:justify;""><strong>Модуль 2.4. Классические Байесовские фильтры (9 часов)</strong></p><p style=""text-align:justify;""><i>2.4.1 Фильтр Калмана (5 часов)</i></p><p style=""text-align:justify;"">Понятие Байесовской фильтрации. Задача аппроксимации. Аппроксимация на языке Matlab. Фильтр Калмана и его модификации.</p><p style=""text-align:justify;""><i>2.4.2 Фильтр частиц (4 часа)</i></p><p style=""text-align:justify;"">Фильтр частиц. Применение фильтра частиц.</p><p style=""text-align:justify;""><strong>Модуль 2.5.Алгоритмы беспилотного транспорта (9 часов)</strong></p><p style=""text-align:justify;""><i>2.5.1 Введение в беспилотный транспорт (5 часов)</i></p><p style=""text-align:justify;"">Беспилотный транспорт. Движение данных в задачах автономного беспилотного транспорта. Физическое оснащение беспилотников. Задачи, решаемые беспилотником.</p><p style=""text-align:justify;""><i>2.5.2 Алгоритмы локализации для беспилотного транспорта (4 часа)</i></p><p style=""text-align:justify;"">Обработка изображений, локализация, управление движением. SLAM. «Скан-матчер».</p><p style=""text-align:justify;""><strong>Модуль 2.6. Заключение (7 часов)</strong></p><p style=""text-align:justify;"">Наиболее интересные задачи, не рассмотренные в курсе ранее. Автоматизация проверки лабораторных работ</p><p style=""text-align:justify;"">Итоговая аттестация (4 часа): зачет по результатам опроса в устной форме согласно разделам рабочей программы.</p>",Не задан
6,2022 Введение в анализ больших данных,24,0,"2022-10-28, 00:00","2022-11-30, 00:00","<p>Целью освоения программы является теоретическая и практическая подготовка к работе с большими данными. Знания, полученные в результате освоения программы, помогут при сборе и анализе крупных объемов структурированной или неструктурированной информации, при разработке моделей данных и получении новых знаний.</p>",Не задан
8,2022 Большие данные: обработка массивов данных и их пространственное построение на основе геоинформационных технологий,24,0,"2022-11-7, 00:00","2022-11-30, 00:00","<p>В ходе освоения программы рассматриваются геоинформационные системы, виды графических данных и их взаимосвязь, ГИС-приложения. Особое внимание уделено задачам и алгоритмам решений в многомерном пространстве. Интегрально, слушатели осваивают методологию принятия административных решений на основе анализа больших данных, в том числе риск-ориентированный подход.</p>",Не задан
9,2022 Основы программирования на Python,36,0,"2022-10-28, 00:00","2022-11-30, 00:00","<p>В программе рассматриваются основные управляющие конструкции языка Python и базовые типы данных. Слушатели знакомятся с принципами объектно-ориентированного и функционального (функции высшего порядка и чистые функции) программирования, понятиями класса, объекта, метода, поля. Разъясняются на примерах такие понятия как конструктор, инкапсуляция, наследование.</p>",Не задан
10,2022 Язык описания аппаратуры VerilogHDL,24,0,"2022-10-28, 00:00","2022-11-30, 00:00",<p>Одна из характерных тенденций современного этапа развития технологии проектирования цифровых систем - применение языков описания аппаратуры. Предлагаемая программа посвящена изучению языка проектирования аппаратуры VerilogHDL.</p>,Не задан
11,2022 Методы оптимизации,24,0,"2022-10-28, 00:00","2022-11-30, 00:00","<p>Программа содержит материалы трех тем: «Базовые понятия функционального анализа», «Одномерная оптимизация» и «Многомерная оптимизация».</p><p>Слушателям предстоит выполнить лабораторные работы, каждая из которых потребует реализации соответствующего метода на языке программирования Python.</p>",Не задан
